id,family,file_slug,category,keywords,download_url,notes
1,DSEG7 Classic Bold,dseg7,digital,military tactical retro LCD 7-segment digital,local,7-segment LCD classic — bundled in repo
2,Orbitron,orbitron,display,futuristic sci-fi tech cyberpunk space geometric,https://fonts.google.com/download?family=Orbitron,Geometric futuristic display font
3,Share Tech Mono,sharetechmono,monospace,tech hacker terminal monospace code developer,https://fonts.google.com/download?family=Share+Tech+Mono,Monospace technical font
4,Russo One,russoone,display,military bold industrial blocky strong,https://fonts.google.com/download?family=Russo+One,Bold geometric display
5,Rajdhani,rajdhani,sans-serif,indian modern tech futuristic devanagari clean,https://fonts.google.com/download?family=Rajdhani,Devanagari-inspired modern
6,Exo 2,exo2,sans-serif,modern geometric sport futuristic clean,https://fonts.google.com/download?family=Exo+2,Geometric sans-serif
7,Quantico,quantico,sans-serif,military tactical technical sharp,https://fonts.google.com/download?family=Quantico,Military-style technical
8,Michroma,michroma,sans-serif,futuristic minimal sleek modern luxury,https://fonts.google.com/download?family=Michroma,Sleek futuristic display
9,Saira,saira,sans-serif,sport racing formula automotive speed,https://fonts.google.com/download?family=Saira,Racing-inspired sans-serif
10,Teko,teko,sans-serif,sport condensed bold display counter digital,https://fonts.google.com/download?family=Teko,Condensed sport display
11,Play,play,sans-serif,clean modern minimal readable simple,https://fonts.google.com/download?family=Play,Clean geometric sans
12,Audiowide,audiowide,display,cyberpunk futuristic neon retro arcade,https://fonts.google.com/download?family=Audiowide,Retro-futuristic display
13,Black Ops One,blackopsone,display,military stencil army tactical bold,https://fonts.google.com/download?family=Black+Ops+One,Military stencil display
14,Oxanium,oxanium,display,futuristic cyber tech digital rounded,https://fonts.google.com/download?family=Oxanium,Rounded futuristic
15,Bruno Ace,brunoace,display,racing sport automotive speed digital,https://fonts.google.com/download?family=Bruno+Ace,Automotive racing display
